Abatron
Abatuss DMX
Abilify
Abilify MyCite
Absorica
Acai
Accolate
Accupril
Accuretic
Aceta-Gesic
Acid Gone
Acid Reducer
Acid Reducer
Acidophilus
Aciphex
AcipHex Sprinkle
Aclaro Emulsion
Acticlate
Actidose-Aqua
Actigall
Active FE
Activella
Actonel
Actoplus Met XR
Actos
Adalat CC
Adcirca
Addaprin
Adderall
Adderall XR
Addyi
Adempas
Adipex-P
Advil
Advil Cold & Sinus
Advil Migraine
Advil PM
Adzenys ER
Adzenys XR-ODT
Aemcolo
Afeditab CR
Afinitor
Afinitor Disperz
Aftera
Aggrenox
Agrylin
Ahist
Akten Gel
Akynzeo
Alahist CF
Alahist DM
Alavert
Albenza
Aldactazide
Aldactone
Alecensa
Aleve
Aleve Cold and Sinus
Aleve PM
Alinia
Alka-Seltzer
Alka-Seltzer Plus Cold
Alkeran
All Day Allergy
All Day Allergy-D
All Day Pain Relief
All Day Relief
Allegra-D 24 Hour
Aller-Chlor
Allergy Relief
Allergy Relief
Alli
Allzital
Almacone
Aloquin Gel
Alphaquin HP Cream
Alprazolam Intensol
Altace
Altavera
Altoprev
Alunbrig
Alyq
Amabelz
Amaryl
Ambien
Ambien CR
Ameluz Gel
Amerge
Amethia
Amethia Lo
Amethyst
Amicar
Amitiza
Amnesteem
Ampyra
Amrix
Anadrol-50
Anafranil
Anaspaz
Anbesol Gel
Ancobon
Android
Anesthetic Gel
Angeliq
Animi-3
Antabuse
Antacid
Antara
Anzemet
Apadaz
Apetex
Apetigen
AP-Hist DM
Aplenzin
Apri
Apriso
Aprodine
Aptensio XR
Aptiom
Aptivus
AquADEKs
Aqua-E
Aquasol E
Arakoda
Aranelle
Arava
Arbinoxa
Aricept
Arimidex
Armour Thyroid
Aromasin
Arthritis Pain
Arymo ER
Asacol HD
Ascomp with Codeine
Ashlyna
Aspir-Low
Astagraf XL
Atacand
Atacand HCT
Atelvia
Athlete's Foot Cream
Ativan
Atralin Gel
Atripla
Aubagio
Aubra
Aubra EQ
Augmentin
Augmentin ES-600
Augmentin XR
Auryxia
Austedo
Avalide
Avandamet
Avandia
Avapro
Avar-E Cream
Avar-E Green Cream
Avar-E LS Cream
Avelox
Avelox ABC Pack
Aviane
Avidoxy
Avodart
Axert
Aygestin
Azasan
Azilect
Azolen Tincture
Azor
Azulfidine
Azurette
Bacmin
Bactrim
Bactrim DS
Bactroban Cream
Bactroban Nasal Ointment
Balamine DM
Balanced B-50
Balanced B-50
Bal-Care DHA
Bal-Care DHA Essential
Balcoltra
Balziva
Banophen
Banzel
Baraclude
Baxdela
Bayer Back & Body
Bayer PM
Bekyree
Belsomra
Belviq
Belviq XR
Benadryl
Benicar
Benicar HCT
Bensal HP Ointment
Bentyl
Benzamycin Gel
BenzePrO Foam
Benzodent Cream
Betapace
Betapace AF
Betaquik
Bevyxxa
Beyaz
Biaxin
Bicarsim
Bicarsim Forte
BiDil
Bijuva
Biktarvy
Biltricide
Binosto
Biocotron
Biotalan Clear
Biotin
Bisa-Lax
Bismatrol
Blisovi 24 Fe
Bone Essentials
Bonine
Boniva
Bonjesta
Bosulif
Braftovi
Brevicon
Brewer's Yeast
Briellyn
Brilinta
Brisdelle
Briviact
Bromfed DM
Bronkids
Brotapp
Bupap
Bystolic
Byvalson
Cabometyx
Caduet
Cafergot
Calan
Calan SR
Calci-Chew
Calcidol
Calcionate
Calcitrate
Cal-Mint
Calphron
Calquence
Camila
Camrese
Camrese Lo
CapCof
Capex Shampoo
Capmist DM
Caprelsa
Capron DM
Carafate
Carbaglu
Carbaphen CH
Carbatrol
Cardizem
Cardizem CD
Cardizem LA
Cardura
Cardura XL
Carnitor
Carnitor SF
CaroSpir
Cartia XT
Casodex
Catapres
Caziant
Cedax
Celebrex
Celexa
Celontin
Centamin
Centany AT Kit
Centratex
Centrum
Centrum MultiGummies
Centrum Silver
Centrum Silver Ultra Men's
Centrum Ultra Men's
Cerdelga
Cerefolin
Cesamet
Cetaphil Lotion
Cetylev
Chantix
Chateal
Chateal EQ
Chemet
Chenodal
Cheratussin AC
Children's Acetaminophen
Children's Advil
Children's Allegra Allergy
Children's Allergy
Children's Cold & Cough DM
Children's Mapap
Children's Motrin
Children's Silapap
Children's Tylenol
Chlo Hist
Chlorophyll
Chlor-Trimeton
Cholbam
Cialis
Ciclodan Cream
Cidaflex
